176,PS_Kemi,SJK,1,3,1722
177,FC_Lahti,Ilves,0,0,1837
178,IFK_Mariehamn,PK35_Vantaa,4,2,1501
179,KuPS,FC_Inter,0,2,1809
180,VPS,RoPS,1,0,2472
181,FC_Inter,PS_Kemi,0,0,1675
182,HJK,IFK_Mariehamn,1,1,9726
183,Ilves,HIFK,1,1,4873
184,PK35_Vantaa,VPS,1,2,220
185,RoPS,KuPS,2,1,1359
186,SJK,FC_Lahti,2,2,4021
187,FC_Inter,RoPS,1,1,2036
188,FC_Lahti,IFK_Mariehamn,0,2,2583
189,HIFK,KuPS,0,2,2887
190,Ilves,HJK,1,3,5050
191,PS_Kemi,VPS,1,4,356
192,SJK,PK35_Vantaa,5,0,4574
193,HJK,SJK,0,0,8752
194,IFK_Mariehamn,Ilves,2,1,4535
195,KuPS,PS_Kemi,1,0,1441
196,PK35_Vantaa,FC_Inter,2,1,290
197,RoPS,HIFK,0,0,1285
198,VPS,FC_Lahti,0,1,3201
